team,assists,denies,first_blood,gpm,healing,hero_damage,is_radiant,kills,last_hits,match_duration,radiant_winner,total_levels,tower_damage,xpm
20 min afk les,69.75,44.5,134.625,2133.375,11239.5,99189.0,0.375,30.625,871.125,2597.875,0.75,105.0,9649.375,2392.75
Alliance,72.77777777777777,41.55555555555556,118.55555555555556,2116.0,5696.777777777777,117816.22222222222,0.3333333333333333,33.22222222222222,1184.2222222222222,3076.5555555555557,0.6666666666666666,109.77777777777777,10112.111111111111,2428.6666666666665
Espada,61.833333333333336,56.666666666666664,137.66666666666666,2206.25,5895.416666666667,98369.91666666667,0.5,30.083333333333332,1000.6666666666666,2579.75,0.6666666666666666,106.16666666666667,9606.666666666666,2538.1666666666665
Evil Geniuses,74.9375,46.3125,59.625,2245.375,6376.25,88529.875,0.5625,34.9375,763.1875,2153.1875,0.5,100.875,10268.4375,2595.8125
Fnatic,54.5,45.375,107.5625,2084.375,7040.0,86623.4375,0.5625,27.0625,977.875,2542.75,0.5,99.6875,8676.25,2293.5
Invictus Gaming,54.44444444444444,46.72222222222222,144.77777777777777,2027.5,4438.388888888889,83041.27777777778,0.2222222222222222,23.944444444444443,939.1111111111111,2454.9444444444443,0.6666666666666666,100.16666666666667,7195.888888888889,2285.8888888888887
Kaipi,24.0,33.0,63.0,1619.0,2774.0,38862.0,1.0,14.0,461.0,1562.0,0.0,73.0,2114.0,1989.0
LeftOneTV,68.54545454545455,57.45454545454545,103.0,2157.3636363636365,3558.0,89704.18181818182,0.7272727272727273,32.09090909090909,926.1818181818181,2506.090909090909,0.45454545454545453,105.54545454545455,9798.454545454546,2528.7272727272725
MEGA-LADA E-sports,76.8,42.8,158.8,2045.0,2161.4,101732.6,0.4,33.6,884.2,2589.6,0.8,100.0,6407.8,2357.2
Mineski,57.9375,38.625,131.75,2113.3125,5131.8125,86864.6875,0.375,24.8125,990.4375,2514.4375,0.5625,99.625,8234.5,2293.125
New Guys,63.46666666666667,36.13333333333333,104.13333333333334,2209.2,3474.733333333333,97268.86666666667,0.6666666666666666,29.2,1038.3333333333333,2489.6666666666665,0.8,98.93333333333334,11703.4,2478.4666666666667
